About,Acerca de,
Action Type,Tipo de Acción,
Actual Date,Fecha Real,
Archive,Archivar,
Archived,Archivado,
Attachments,Adjuntos,
Branch,Sucursal,
Category,Categoría,
Channel,Canal,
Comment,Comentario,
Company,Compañía,
Completed,Completado,
Contact,Contacto,
Customer,Cliente,
Date,Fecha,
Department,Departamento,
Description,Descripción,
Documents,Documentos,
Done,Listo,
Download,Descargar,
Draft,Borrador,
Due Date,Fecha límite,
Employee,Empleado,
Event Type,Tipo de Evento,
File Name,Nombre del Archivo,
Frappe Support,Soporte de Frappe,
From User,Del usuario,
IP Address,Dirección IP,
Incoming,Entrante,
Internal,Interno,
Keyboard Shortcuts,Atajos de teclado,
Login,Iniciar sesión,
Note,Nota,
Open,Abrir,
Outgoing,Saliente,
Party,Tercero,
Party Type,Tipo de entidad,
Pending Review,Pendiente de revisar,
Portal,Portal,
Prefix,Prefijo,
Priority,Prioridad,
QR Code,Código QR,
Reason,Razón,
Reference Document Type,Tipo de documento de referencia,
Reference Name,Nombre de Referencia,
Reference No,Nº de referencia,
Rejected,Rechazado,
Reply,Responder,
Request Type,Tipo de solicitud,
Responsible,Responsable,
Result,Resultado,
Scan,Escanear,
Sent,Enviado,
Status,Estado,
Subject,Asunto,
Submit,Validar,
Success,Éxito,
Supplier,Proveedor,
System Health,Salud del sistema,
System Manager,Administrador del sistema,
Title,Título,
Urgent,Urgente,
User,Usuario,
View,Vista,
