About,O,
Action Type,Tip Radnje,
Actual Date,Stvarni Datum,
Archive,Arhiva,
Archived,Arhivirano,
Attachments,Prilozi,
Branch,Podružnica,
Category,Kategorija,
Channel,Kanal,
Comment,Komentar,
Company,Tvrtka,
Completed,Završeno,
Contact,Kontakt,
Customer,Klijent,
Date,Datum,
Delete Demo Data,Izbriši Demo Podatke,
Department,Odjel,
Description,Opis,
Documents,Dokumenti,
Done,Gotovo,
Download,Preuzmi,
Draft,Nacrt,
Due Date,Krajnji Rok,
Employee,Osoblje,
Event Type,Tip Događaja,
File Name,Naziv Datoteke,
Frappe Support,Frappe Podrška,
From User,Od Korisnika,
IP Address,IP Adresa,
Incoming,Dolazna,
Internal,Interni,
Keyboard Shortcuts,Prečice Tastature,
Login,Prijava,
Normal,Normalan,
Note,Napomena,
Open,Otvori,
Outgoing,Odlazeća,
Party,Stranka,
Party Type,Tip Stranke,
Pending Review,Recenzija na Čekanju,
Portal,Portal,
Prefix,Prefiks,
Priority,Prioritet,
QR Code,QR Kod,
Reason,Razlog,
Reference Document Type,Referentni Tip Dokumenta,
Reference Name,Referentni Naziv,
Reference No,Referentni Broj,
Rejected,Odbijeno,
Reply,Odgovor,
Request Type,Tip Zahtjeva,
Responsible,Odgovorni,
Result,Rezultat,
Scan,Skeniraj,
Sent,Poslano,
Status,Status,
Subject,Predmet,
Submit,Rezerviši,
Success,Uspjeh,
Supplier,Dobavljač,
System Health,Status Sustava,
System Manager,Upravitelj Sustava,
Title,Naziv,
Urgent,Hitno,
User,Korisnik,
View,Prikaz,
