About,O,
Action Type,Vrsta radnje,
Actual Date,Stvarni datum,
Archive,Arhiviraj,
Archived,Arhivirano,
Attachments,Prilozi,
Branch,Filijala,
Category,Kategorija,
Channel,Kanal,
Comment,Komentar,
Company,Kompanija,
Completed,Završeno,
Contact,Kontakt,
Customer,Kupac,
Date,Datum,
Delete Demo Data,Obriši demo podatke,
Department,Odeljenje,
Description,Opis,
Documents,Dokumenta,
Done,Završeno,
Download,Preuzmi,
Draft,Nacrt,
Due Date,Datum dospeća,
Employee,Zaposleno lice,
Event Type,Vrsta događaja,
File Name,Naziv fajla,
Frappe Support,Frappe podrška,
From User,Od korisnika,
IP Address,IP adresa,
Incoming,Ulazni,
Internal,Interni,
Keyboard Shortcuts,Prečice na tastaturi,
Login,Prijava,
Normal,Normalno,
Note,Napomena,
Open,Otvoreno,
Outgoing,Izlazni,
Party,Stranka,
Party Type,Vrsta stranke,
Pending Review,Pregled na čekanju,
Portal,Portal,
Prefix,Prefiks,
Priority,Prioritet,
QR Code,QR kod,
Reason,Razlog,
Reference Document Type,Vrsta referentnog dokumenta,
Reference Name,Naziv reference,
Reference No,Broj reference,
Rejected,Odbijeno,
Reply,Odgovori,
Request Type,Vrsta zahteva,
Responsible,Odgovoran,
Result,Rezultat,
Scan,Skeniranje,
Sent,Poslato,
Status,Status,
Subject,Naslov,
Submit,Podnesi,
Success,Uspeh,
Supplier,Dobavljač,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
Title,Naslov,
Urgent,Hitno,
User,Korisnik,
View,Prikaz,
